Item Name,MFR Name,Selling,M.R.P,Total Stock
,,,,
 DETTOL SOAP COOL 75G,MFR,29,30,0
0.7 MECH PENCIL 10/-,MFR,9.8,10,0
1 MINUTE EXPRESS HAIR COLOUR 20ML,MFR,41,42,5
1 MINUTE EXPRESS HAIR COLOUR 20ML*6,MFR,280,290,2
1 ORGANIC MILLET NAMKEEN 100G,MFR,73,75,0
1 ORGANIC MULTI GRAIN MILLET NOODLES,MFR,97,99,0
1 ORGANIC MULTI MILLET PASTA PENNE 200G,MFR,97,99,0
1 ORGANIC PEARL MILLET NOODLES,MFR,97,99,0
1 ORGANIC SORGHUM MILLET NOODLES,MFR,97,99,0
1 ORGANIC WHOLE WHEAT PASTA PENNE 200G,MFR,97,99,0
1000 FLOWERS 8ML,MFR,67,70,15
20-20 BUTTER 10/-,MFR,9.8,10,4
20-20 CASHEW 10/-,MFR,9.8,10,0
20-20 GOLD BUTTER COOKIES,MFR,9.8,10,1
20-20 GOLD CHOCO CHIPS COOKIES,MFR,9.8,10,0
3 IN 1 ROTO PEELER,MFR,110,120,0
3 ROSES 10/-,MFR,9.8,10,69
3 ROSES 2/-,MFR,2,2,0
3 ROSES 5/-,MFR,4.85,5,55
3 ROSES BROKE BOND 1KG,MFR,580,590,0
3 ROSES DUST 500G,MFR,345,350,38
3 ROSES NATURAL CARE 100G,MFR,99,100,10
3 ROSES NATURAL CARE 17G,MFR,9.8,10,12
3 ROSES NATURAL CARE 250G,MFR,240,245,9
3 ROSES NATURAL CARE 500G,MFR,465,470,2
3 ROSES TEA BUDS 40/-,MFR,39,40,5
3 ROSES TOP STAR DUST 500G,MFR,292,295,0
4700BC BELGIAN CHOCO 35GM,MFR,48,49,1
4700BC FRENCH BUTTER 45GM,MFR,48,49,0
4700BC HAWAIIAN BBQ 35GM,MFR,48,49,0
4700BC HIMALYAN SALT 35GM,MFR,48,49,0
4700BC POPCORN 30G,MFR,10,10,0
4700BC SRIRACHA LIME 35G,MFR,48,49,0
5 STAR 3D 30/-,MFR,34,35,7
5 STAR BOX 5RS,MFR,260,270,0
5 STAR NUTTY 10/-,MFR,9.8,10,0
