Item Name,Selling,M.R.P,Total Stock
 DETTOL SOAP COOL 75G,29,30,5
0.7 MECH PENCIL 10/-,9.83,10,16
1000 FLOWERS 8ML,67,70,2
20-20 BUTTER 10/-,9.83,10,1
20-20 CASHEW 10/-,9.83,10,14
3 ROSES 10/-,9.83,10,25
3 ROSES BROKE BOND 1KG,580,590,2
3 ROSES DUST 500G,303,305,9
3 ROSES NATURAL CARE 100G,93,95,11
3 ROSES NATURAL CARE 17G,9.83,10,32
3 ROSES NATURAL CARE 250G,225,230,16
3 ROSES NATURAL CARE 500G,415,420,4
3 ROSES TEA BUDS 40/-,39,40,7
3 ROSES TOP STAR DUST 500G,292,295,5
5 STAR 3D 30/-,29,30,37
5 STAR BOX 5RS,267,270,1
5 STAR NUTTY 10/-,9.83,10,0
5 STAR SIVAJI RICE 5KG,305,333,9
5 STAR SOFTER BOX 20/-,555,560,0
50-50 5/-,5,5,10
50-50 BISCUIT 30/-,29,30,16
50-50 JEERA 10/-,9.83,10,11
50-50 MASKA CHASKA 50G,9.83,10,22
50-50 SWEET/SALT 76G,9.83,10,18
50-50 SWEET/SALT150G,19.5,20,3
5050 MASKA CHASKA 50G,31,32,8
555 IDLY RICE BULK,0,0,0
777 AMLA PICKLE 200G,82,84,2
777 AMLA PICKLE 300G,73,75,0
777 ASAFOETIDA 50G,70,75,0
777 BAJJI BONDA MIX 200G,28,32,0
777 CITRON PICKLE 200G,75,78,10
777 CUT ANDHRA GONGURA PICKLE 300G,77,79,0
777 CUT AVAAKAYA PICKLE 300G,77,79,0
777 CUT LIME PICKLE 10/-,9.83,10,3
777 CUT MANGO GINGER PICKLE 300G,73,75,0
777 CUT MANGO PICKLE 10/-,9.83,10,1
777 CUT MANGO PICKLE 200G,75,78,14
777 CUT MANGO PICKLE 300G,77,79,1
777 DHALL RICE POWDER 100G,66,68,3
777 GARLIC PICKLE 200G,75,78,17
777 GARLIC PICKLE 300 G,73,75,0
777 GARLIC PICKLE 300G,81,83,0
777 GINGER GARLIC PASTE 40G,9.83,10,0
777 GINGER PICKLE 300G,76,78,5
777 GONGURA PICKLE 200G,75,78,2
777 IDLY CHILLY POWDER 100G,66,68,6
777 LIME PICKLE 200G,75,78,18
777 LIME PICKLE 300G,77,79,0
777 MADRAS MANGO THOKKU 10/-,9.83,10,7
777 MADRAS RASAM POWDER 100G,66,68,3
777 MANGO GINGER PICKLE 200G,75,78,2
777 MANGO THOKKU PICKLE 200G,75,78,16
777 MANGO THOKKU PICKLE 300G,73,75,0
777 MIXED PICKLE 200G,66,68,18
777 NANNARI SHARBAT,145,150,26
777 NANNARI SHARBAT 700ML,145,150,11
777 PEPPER POWER 10/-,9.83,10,0
777 PULIYOTHARAI RICE PASTE 300G,92,96,0
777 RICE PULIYOTHARAI MIX 200G,62,64,9
777 RICE VERMICELLI 200G,48,50,15
777 RICE VERMICELLI 500G,108,110,2
777 ROSE SHARBAT 750ML,145,150,3
777 SAMBAR POWDER 100G,66,68,8
777 TOMATO SAUCE 1KG,85,86,0
777 VADU MANGO PICKLE 300G,105,108,0
777 VATHA KUZAMBU RICE PASTE 300G,92,96,0
777 VATHAL KUZAMBU 10/-,9.83,10,2
7UP 1.25ML,49,50,10
7UP 1.25ML 50/-,49,50,1
7UP 2.5ML,89,90,0
