Item Name,GST Tax Desc,GST code,HSN code,Cost,Selling,M.R.P,Total Stock
CARRY BAG S,GST 0% Tax,5001,,6.5,10,10,147
CARRY BAG M,GST 0% Tax,5001,,9.5,12,12,379
CARRY BAG L,GST 0% Tax,5001,,11,15,15,1
CARRY BAG 1/-,GST Exempted Tax,5002,,0.75,1,1,469
CARRY BAG 2/-,GST Exempted Tax,5002,,1.5,2,2,223
CARRY BAG SS,GST 0% Tax,5001,,3.75,7,7,2
MASK 70/-,GST 0% Tax,5001,,52.5,70,80,9
AYAAN BROOMS 175/-,GST 0% Tax,5001,,95,120,175,1
BADA CUP VANILA 100ML,GST 18%,5005,21050000,12,14.75,15,1
DAIRY DAY NEW JR SUNDAE BLACK CURRENT 100ML,GST 18%,5005,21050000,28,34.75,35,28
DAIRY DAY NEW JR SUNDAE CHOCO 100ML,GST 18%,5005,21050000,28,34.75,35,29
DAIRY DAY NEW JR SUNDAE FRUT 100ML,GST 18%,5005,21050000,39.99,49,50,41
DAIRY DAY PAAL ICE 50ML,GST 18%,5005,21050000,16,19.5,20,12
DAIRY DAY CONE BELGIAN CHOCO 120ML,GST 18%,5005,21050000,47.99,59,60,13
DAIRY DAY CONE BLACK CURRANT 120ML,GST 18%,5005,21050000,28,34.75,35,27
DAIRY DAYCONE STRAWBERRY 120ML,GST 18%,5005,33041000,24,29.5,30,17
DAIRY DAY CONE BUTTER SCOTCH CONE 120ML,GST 18%,5005,21050000,27.99,34.75,35,26
DAIRY DAY BUTTER SCOTCH 1+1 700ML,GST 18%,5005,21050000,200,245,250,3
DAIRY DAY VANILA 700ML 1+1,GST 18%,5005,21050000,152,185,190,9
DAIRY DAY KAJU DRAKSHM 1+1 700ML,GST 18%,5005,21050000,200,245,250,1
DAIRY DAY CONE VANILA 120ML,GST 18%,5005,21050000,24,29.5,30,14
VANILA 35ML,GST 18%,5005,21050000,1.24,6,6,68
DAIRY DAY BUCKET VANNILA 1.5L,GST 18%,5005,21050000,191.99,235,240,13
DAIRY DAY CONE CHOCO 120ML,GST 18%,5005,21050000,27.99,34.75,35,22
ARUN PISTA 500ML,GST 18%,5005,,123,150,150,0
ARUN STRAWBERRY 500ML,GST 18%,5005,,98.4,120,120,1
ARUN CHOCOLATE 500ML,GST 18%,5005,,123,150,150,0
ARUN RAJBHOG 500ML,GST 18%,5005,,131.21,158,160,0
ARUN VANILLA 250ML,GST 18%,5005,,53.3,65,65,0
ARUN BUTTERSCOTCH 250ML,GST 18%,5005,,57.4,70,70,0
ARUN JACK FRUIT 250ML,GST 18%,5005,,57.4,70,70,0
ARUN FIG 250ML,GST 18%,5005,,57.4,70,70,0
ARUN MANGO 500ML,GST 18%,5005,,114.81,140,140,0
ARUN CONE CHOCOLATE 50ML,GST 18%,5005,,24.6,30,30,7
ARUN BLACK CURRENT CONE 250ML,GST 18%,5005,,41.01,50,50,2
ARUN KESAR PISTA CONE 50ML,GST 18%,5005,21050000,24.6,30,30,1
ARUN BUTTERSCOTCH 100ML,GST 18%,5005,21050000,41.01,49,50,0
ARUN BUTTERSCOTCH 1000ML,GST 18%,5005,21050000,225,275,280,0
ARUN VANILLA TUB 1000ML,GST 18%,5005,,196.8,235,240,1
DAIRY DAY SANDWICH CHOCO100G,GST 18%,5005,,24,29.5,30,2
DAIRY DAY MINI CHOCO BAR 10/-,GST 18%,5005,21050000,8,9.83,10,26
DAIRY DAY JUNIOR CONE CHOCO,GST 18%,5005,,20,24,25,0
DAIRY DAY JUNIOR CONE B.SCOTCH,GST 18%,5005,,20,24,25,0
DAIRY DAY JUNIOR CONE VANILA,GST 18%,5005,21050000,12,14.75,15,28
DAIRY DAY CONE MANGO 120ML,GST 18%,5005,21050000,24,29.5,30,3
DAIRY DAY LC VANNILA 10/-,GST 18%,5005,2105000,8,9.83,10,26
ARUN BLUEBERRY BANANA 50ML,GST 18%,5005,21050000,24.6,30,30,0
ARUN CONE VANILLA ICE CREAM 50ML,GST 18%,5005,21050000,24.6,30,30,6
DAIRY DAY ALPHONSO MANGO 250ML,GST 18%,5005,21050000,64,79,80,2
DAIRY DAY GULAB JAMUM ICE CREAM 250ML,GST 18%,5005,21050000,79.2,98,99,1
ARUN STRAWBERRY MANGO DUET 500ML,GST 18%,5005,,114.81,138,140,0
ARUN BUTTERSCOTCH  CHOCO DUET 500ML,GST 18%,5005,,114.81,138,140,0
DAIRY DAY COFFEE TWIST ICE 30/-,GST 18%,5005,,24,29.5,30,2
DAIRY DAY CHOCO 1+1 700ML,GST 18%,5005,21050000,200,245,250,26
DAIRY DAY ALPHONSO MANGO 700ML 1+1,GST 18%,5005,21050000,200,245,250,6
DAIRY DAY PLAIN PINEAPPLE 700ML 1+1,GST 18%,5005,21050000,192,235,240,7
DAIRY DAY PLAIN PISTA 700ML 1+1,GST 18%,5005,21050000,200,245,250,9
DAIRY DAY BUTTER SCOTCH 500ML,GST 18%,5005,21050000,112,138,140,1
DAIRY DAY CHIKOO 500ML,GST 18%,5005,21050000,128.01,155,160,0
DAIRY DAY STRAWBERRY 500ML,GST 18%,5005,21050000,104,128,130,2
ARUN ITALIAN DELIGHT TUB 1000ML,GST 18%,5005,21050000,245.99,295,300,0
ARUN ALMOND CRISP TUB 1000ML,GST 18%,5005,21050000,245.99,295,300,0
ARUN COOKIES N CREAM TUB 500ML,GST 18%,5005,21050000,123,148,150,0
ARUN DOUBLE CHOCO ICONE 100ML,GST 18%,5005,21050000,41.01,49,50,1
DAIRY DAY PISTA 700ML,GST 18%,5005,21050000,200,245,250,3
DAIRY DAY ALPHONSA MANGO 700ML,GST 0% Tax,5001,21050000,176.25,235,240,9
DAIRY DAY SPINNO VANILA 100ML,GST 18%,5005,21050000,16,19,20,72
ARUN CONE COTTON CANDY 50ML,GST 18%,5005,,24.6,30,30,12
ARUN CONE CARIBEAN ALMOND 50ML,GST 18%,5005,,24.6,30,30,2
ARUN CONE VANILLA ICE CREAM 100ML,GST 18%,5005,21050000,41.01,49,50,2
ARUN LIKSTICK ORANGE 50ML,GST 12%,5004,21050000,7.78,10,10,2
ARUN LIKSTICK GRAPE 50ML,GST 12%,5004,21050000,7.78,10,10,2
DAIRY DAY GAJAR HALWA 250ML,GST 18%,5005,21050000,79.2,98,99,1
DAIRY DAY ROSE KULFI TUP 250ML,GST 18%,5005,21050000,79.2,98,99,4
DAIRY DAY RUM JAMAICA,GST 18%,5005,21050000,22.5,29,30,2
DAIRY DAY LUSH LYCHEE ICE CREAM 250ML,GST 18%,5005,21050000,79.2,98,99,3
DAIRY DAY PLUS HALDI(TURMERIC) 700ML,GST 18%,5005,21050000,159.2,194,199,5
DAIRY DAY HALDI TURMERIC 60ML,GST 18%,5005,21050000,16,19.5,20,34
DAIRY DAY CHOCOLATE TUBS 500ML,GST 18%,5005,21050000,104.01,125,130,2
DAIRY DAY TUTTY FRUITY TUBS 500ML,GST 18%,5005,21050000,104,125,130,3
DAIRY DAY MEGA TUB BLACKCURRANT 1.5L,GST 18%,5005,21050000,256.01,315,320,0
DAIRY DAY MEGA TUB BUTTERSCOTCH 1.5L,GST 18%,5005,21050000,239.19,295,299,4
DAIRY DAY MEGA TUB STRAWBERRY 1.5L,GST 18%,5005,21050000,191.99,235,240,1
DAIRY DAY PAAN 20/-,GST 18%,5005,,15,19.5,20,8
DAIRY DAY PLUS HALDI 20/-,GST 18%,5005,21050000,15,19,20,18
DAIRY DAY CASATTA ROLL 750ML,GST 18%,5005,21050000,280,348,350,2
DAIRY DAY CHOCO FANTASY ICECREAM CAKE 500ML,GST 18%,5005,21050000,239.2,290,299,1
DAIRY DAY RED VELVET ICECREAM CAKE 500ML,GST 18%,5005,21050000,239.2,290,299,6
DAIRY DAY ARABIAN FANTASY CONE 56ML,GST 18%,5005,21050000,16,19.5,20,3
DAIRY DAY JUNIOR CONE PISTA 65ML,GST 18%,5005,,20,24,25,29
DAIRY DAY TANGY ORANGE CONE 15/-,GST 18%,5005,21050000,12,14.75,15,4
DAIRY DAY ROASTED BADAM CONE 120ML,GST 18%,5005,21050000,47.99,64,65,12
DAIRY DAY SPINNO CHIKOO 25/-,GST 18%,5005,,20,24,25,15
DAIRY DAY SPINNO LYCHEE 25/-,GST 18%,5005,,16,19.5,20,15
DAIRY DAY YUMMY LIMBOOS 10/-,GST 18%,5005,21050000,8,9.83,10,3
DAIRY DAY CLASSIC GRAPE 10/-,GST 18%,5005,21050000,8,9.83,10,22
DAIRY DAY MANGO DUAL 70ML,GST 18%,5005,21050000,12,14.75,15,2
DAIRY DAY CLASSIC STRAWBERY 10/-,GST 18%,5005,21050000,8,9.83,10,15
DAIRY DAY CLASSIC PINEAPPLE 10/-,GST 18%,5005,21050000,8,9.83,10,10
DAIRY DAY STRAWBERRY DUAL 15/-,GST 18%,5005,21050000,12,14.75,15,1
DAIRY DAY MANGO DUAL 15/-,GST 0% Tax,5001,21050000,0,0,0,0
DAIRY DAY PISTACHIONUT 65ML,GST 18%,5005,,16,19,20,10
DAIRY DAY BUCKET BUTTERSCOTCH 1.5L,GST 18%,5005,21050000,239.19,295,299,1
DAIRY DAY ALPHONSO MANGO 1+1 700ML,GST 18%,5005,21050000,199.99,245,250,1
LEMON ICE TEA 250ML,GST 18%,5005,18,17.62,19.5,19.5,3
LEMON ICE TEA PEACH 250ML,GST 18%,5005,18,17.69,20,20,0
DAIRY DAY YUMMY MANGO 10/-,GST 18%,5005,21050000,8,9.83,10,20
DAIRY DAY YUMMY ORANGE 10/-,GST 18%,5005,21050000,4,5,5,22
DAIRY DAY YUMMY LIMBOOS,GST 18%,5005,21050000,4,5,5,28
DAIRY DAY VANNILA MILKY,GST 18%,5005,21050000,15.99,19,20,22
DAIRY DAY TUB BLACK CURRENT,GST 18%,5005,21050000,256.01,315,320,2
SMOODH TOFFEE CARAMEL,GST 12%,5004,22029920,9.26,9.83,10,12
SMOODH CHOCOLATE MILK,GST 12%,5004,22029920,9.26,9.83,10,0
RED BULL PURPLE EDITION,GST 28%+Cess 12%,5007,2209990,92.7,113,115,0
REAL ALPHONSO MANGO,GST 12%,5004,22029920,78.95,118,120,2
DAIRY DAY BLOCK FOREST ICE CRM CAKE,GST 18%,5005,21050000,359.99,440,450,4
DAIRY DAY CLASSIC ORANGE,GST 18%,5005,21050000,7.99,9.5,10,22
DAIRY DAY AMERICAN NUTS ICE CREAM,GST 18%,5005,21050000,159.2,190,199,0
DAIRY DAY GAJAR HALWA ICE CREAM,GST 18%,5005,21050000,159.2,190,199,2
DAIRY DAY COOKIES N CREAM,GST 18%,5005,21050000,159.2,190,199,1
AMUL ELACHI 200ML,GST 12%,5004,,22.5,24,25,3
DAIRY DAY CHOCO MOCHA ICE CREAM CAKE,GST 18%,5005,21050000,280,345,350,3
DAIRY DAY HONEY ALMOND ICE CREAM CAKE,GST 18%,5005,21050000,280.01,345,350,0
DAIRY DAY PLAIN PINEAPPLE 1+1,GST 18%,5005,21050000,199.99,245,250,1
AROKYA CURD 200G,GST 0% Tax,5001,,18,19.5,20,10
QUAKER OATS FLAVOUR MIX 200G,GST 5%,5003,1104,44.54,48,49,0
PRIYA AMLA PICKLE 300G,GST 12%,5004,20019000,75,85.5,90,0
CADBURY CHOCLAIRS GOLD COFFEE 605G,GST 18%,5005,4267528,173.91,195,200,0
SUNFEAST DARK FANTASY CHOCO NUT FILLS,GST 18%,5005,1905,30,34,35,3
B NATURAL MIX FRUIT +,GST 12%,5004,2202,100.56,129,130,0
TEDHE MEDHE MASLA 10/-,GST 12%,5004,2106,8.68,9.83,10,1
MILKY MIST BUTTER 60/-,GST 12%,5004,,55.01,59,60,13
CHILLI VATHAL 50G,GST 0% Tax,5001,,15,19,20,1
HAPPY MASALA VERMICILLI 100G,GST 12%,5004,19023090,16,19,20,0
HAPPY VEG NOODLES 100G,GST 12%,5004,19023090,13.5,16,17,2
EMIRATES FALOODA,GST 0% Tax,5001,,48.75,60,85,1
CHINGS VEG MANCHURIAN MASALA,GST 12%,5004,21039040,8.5,9.83,10,1
CHINGS PANEER CHILLI MASALA,GST 12%,5004,21039040,8.69,9.83,10,6
